asset,sharp,sortino,omega
BTC,-1.45,-2.09,0.49
ETH,-0.77,-1.06,0.68
BNB,-1.76,-1.76,0.33
XRP,0.94,1.51,1.54
ADA,-0.86,-1.24,0.67
DOGE,-1.42,-1.41,0.42
SOL,-0.8,-1.09,0.68
MATIC,-1.3,-1.82,0.52
LTC,0.32,0.43,1.17
TRX,1.04,2.84,1.71
DOT,-1.28,-1.65,0.54
SHIB,-1.65,-1.71,0.38
AVAX,-1.76,-2.26,0.44
LINK,-1.51,-1.94,0.49
ATOM,-0.93,-1.28,0.63
UNI,-1.25,-1.44,0.52
XMR,-1.44,-1.47,0.42
XLM,-0.88,-0.95,0.62
BCH,-0.59,-0.9,0.75
ICP,-2.15,-2.56,0.33
LDO,0.84,1.58,1.48
FIL,-1.15,-1.25,0.52
APT,-0.86,-1.07,0.66
HBAR,-1.84,-2.22,0.39
NEAR,-1.4,-2.18,0.54
ARB,-0.5,-0.69,0.79
VET,-1.04,-1.31,0.59
QNT,0.05,0.11,1.02
APE,-1.4,-1.63,0.49
ALGO,-2.13,-2.44,0.33
GRT,-0.51,-0.7,0.78
FTM,-2.08,-2.62,0.36
SAND,-0.38,-0.5,0.83
EOS,-1.35,-1.82,0.52
MANA,-0.81,-1.33,0.68
RPL,-0.26,-0.51,0.89
EGLD,-0.78,-0.9,0.67
THETA,-1.91,-2.2,0.37
AAVE,-1.36,-1.78,0.51
